TimeEST,TemperatureF,Dew PointF,Humidity,Sea Level PressureIn,VisibilityMPH,Wind Direction,Wind SpeedMPH,Gust SpeedMPH,PrecipitationIn,Events,Conditions,WindDirDegrees,DateUTC
12:51 AM,37,28.9,73,30.13,10,Calm,Calm,-,N/A,,Mostly Cloudy,0,2/1/2014 5:51
1:51 AM,37.9,30,73,30.12,10,Calm,Calm,-,N/A,,Mostly Cloudy,0,2/1/2014 6:51
2:51 AM,37,30.9,79,30.1,10,Calm,Calm,-,N/A,,Mostly Cloudy,0,2/1/2014 7:51
3:51 AM,37.9,30.9,76,30.07,10,Calm,Calm,-,N/A,,Mostly Cloudy,0,2/1/2014 8:51
4:51 AM,39,32,76,30.04,10,Calm,Calm,-,N/A,,Overcast,0,2/1/2014 9:51
5:51 AM,39,32,76,30.01,10,Calm,Calm,-,N/A,,Overcast,0,2/1/2014 10:51
6:51 AM,39.9,33.1,77,30,10,Calm,Calm,-,N/A,,Overcast,0,2/1/2014 11:51
7:51 AM,41,32,70,29.98,10,South,3.5,-,N/A,,Overcast,190,2/1/2014 12:51
8:51 AM,43,33.1,68,29.95,10,Calm,Calm,-,N/A,,Overcast,0,2/1/2014 13:51
9:51 AM,44.1,33.1,65,29.96,10,SW,3.5,-,N/A,,Overcast,230,2/1/2014 14:51
10:51 AM,45,33.1,63,29.91,10,WSW,4.6,-,N/A,,Overcast,250,2/1/2014 15:51
11:51 AM,46,33.1,61,29.85,10,South,3.5,-,N/A,,Overcast,190,2/1/2014 16:51
12:51 PM,46.9,35.1,63,29.8,10,South,5.8,-,N/A,,Overcast,190,2/1/2014 17:51
1:51 PM,48.9,39,69,29.75,10,SSW,9.2,-,N/A,,Overcast,210,2/1/2014 18:51
2:51 PM,48,43,83,29.73,3,SW,6.9,-,0,Rain,Light Rain,220,2/1/2014 19:51
3:04 PM,46.4,44.6,93,29.72,2,WSW,4.6,-,0,Rain,Light Rain,250,2/1/2014 20:04
3:20 PM,46.4,44.6,93,29.71,2,WSW,3.5,-,0.01,Rain,Light Rain,250,2/1/2014 20:20
3:25 PM,46.4,44.6,93,29.71,1.5,SW,3.5,-,0.02,Rain,Light Rain,230,2/1/2014 20:25
3:51 PM,46,45,96,29.7,1.5,Calm,Calm,-,0.04,Rain,Light Rain,0,2/1/2014 20:51
4:16 PM,46.4,44.6,93,29.69,0.8,Calm,Calm,-,0.02,Rain,Light Rain,0,2/1/2014 21:16
4:51 PM,46,44.1,93,29.66,0.8,Calm,Calm,-,0.04,Rain,Light Rain,0,2/1/2014 21:51
5:51 PM,45,44.1,97,29.65,1,Calm,Calm,-,0.05,Rain,Light Rain,0,2/1/2014 22:51
6:04 PM,44.6,44.6,100,29.65,0.5,NW,3.5,-,0.03,Rain,Light Rain,310,2/1/2014 23:04
6:51 PM,45,44.1,97,29.63,1.2,Calm,Calm,-,0.1,Rain,Light Rain,0,2/1/2014 23:51
7:32 PM,44.6,44.6,100,29.62,1.2,WSW,3.5,-,0.02,Rain,Light Rain,240,3/1/2014 0:32
7:51 PM,45,44.1,97,29.63,1.2,West,3.5,-,0.04,Rain,Light Rain,280,3/1/2014 0:51
8:12 PM,44.6,44.6,100,29.62,1.2,WNW,5.8,-,0.02,Rain,Light Rain,290,3/1/2014 1:12
8:51 PM,45,44.1,97,29.59,1.2,NNE,3.5,-,0.06,Rain,Light Rain,20,3/1/2014 1:51
9:27 PM,44.6,44.6,100,29.59,7,Calm,Calm,-,0,,Overcast,0,3/1/2014 2:27
9:51 PM,45,43,93,29.62,7,WNW,5.8,-,0,,Overcast,290,3/1/2014 2:51
10:51 PM,44.1,42.1,93,29.62,10,WNW,8.1,-,0,Rain,Light Rain,300,3/1/2014 3:51
11:09 PM,44.6,41,87,29.63,10,WNW,12.7,19.6,0,,Mostly Cloudy,290,3/1/2014 4:09
11:51 PM,43,37,80,29.65,10,WNW,8.1,18.4,0,,Mostly Cloudy,300,3/1/2014 4:51
